,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
48,"2,330.0000",290.0000,"3,681.0000","2,330.0000",326.0000,"4,024.0000","2,330.0000",324.0000,"4,007.0000","2,330.0000",371.0000,"4,421.0000","2,330.0000",396.0000,"4,647.0000","2,330.0000",396.0000,"4,647.0000","2,330.0000",756.0000,"7,715.0000","2,330.0000","1,367.0000","12,542.0000","2,330.0000","1,463.0000","13,319.0000","2,330.0000","1,559.0000","14,097.0000","2,330.0000","1,667.0000","14,971.0000",0.0852,0.0852
49,"2,330.0000",297.0000,"3,719.0000","2,330.0000",333.0000,"4,066.0000","2,330.0000",331.0000,"4,048.0000","2,330.0000",377.0000,"4,467.0000","2,330.0000",402.0000,"4,695.0000","2,330.0000",402.0000,"4,695.0000","2,330.0000",786.0000,"7,838.0000","2,330.0000","1,385.0000","12,814.0000","2,330.0000","1,483.0000","13,608.0000","2,330.0000","1,581.0000","14,402.0000","2,330.0000","1,691.0000","15,295.0000",0.0856,0.0856
50,"2,330.0000",293.0000,"3,759.0000","2,330.0000",330.0000,"4,109.0000","2,330.0000",328.0000,"4,091.0000","2,330.0000",374.0000,"4,515.0000","2,330.0000",399.0000,"4,745.0000","2,330.0000",399.0000,"4,745.0000","2,330.0000",791.0000,"7,971.0000","2,330.0000","1,427.0000","13,074.0000","2,330.0000","1,527.0000","13,884.0000","2,330.0000","1,627.0000","14,695.0000","2,330.0000","1,742.0000","15,606.0000",0.0841,0.0841
51,"2,330.0000",294.0000,"3,801.0000","2,330.0000",333.0000,"4,155.0000","2,330.0000",331.0000,"4,137.0000","2,330.0000",379.0000,"4,565.0000","2,330.0000",405.0000,"4,798.0000","2,330.0000",405.0000,"4,798.0000","2,330.0000",796.0000,"8,100.0000","2,330.0000","1,473.0000","13,380.0000","2,330.0000","1,576.0000","14,209.0000","2,330.0000","1,679.0000","15,039.0000","2,330.0000","1,803.0000","15,971.0000",0.0844,0.0844
52,"2,330.0000",317.0000,"3,845.0000","2,330.0000",358.0000,"4,203.0000","2,330.0000",356.0000,"4,185.0000","2,330.0000",406.0000,"4,618.0000","2,330.0000",433.0000,"4,854.0000","2,330.0000",433.0000,"4,854.0000","2,330.0000",831.0000,"8,227.0000","2,330.0000","1,518.0000","13,656.0000","2,330.0000","1,624.0000","14,503.0000","2,330.0000","1,730.0000","15,349.0000","2,330.0000","1,860.0000","16,301.0000",0.0892,0.0892
53,"2,330.0000",319.0000,"3,890.0000","2,330.0000",360.0000,"4,253.0000","2,330.0000",358.0000,"4,234.0000","2,330.0000",409.0000,"4,672.0000","2,330.0000",436.0000,"4,911.0000","2,330.0000",436.0000,"4,911.0000","2,330.0000",842.0000,"8,352.0000","2,330.0000","1,556.0000","13,942.0000","2,330.0000","1,664.0000","14,806.0000","2,330.0000","1,775.0000","15,670.0000","2,330.0000","1,908.0000","16,642.0000",0.0888,0.0888
54,"2,340.0000",332.0000,"3,950.0000","2,340.0000",374.0000,"4,319.0000","2,340.0000",372.0000,"4,300.0000","2,340.0000",424.0000,"4,745.0000","2,340.0000",453.0000,"4,987.0000","2,340.0000",453.0000,"4,987.0000","2,340.0000",856.0000,"8,488.0000","2,340.0000","1,578.0000","14,336.0000","2,340.0000","1,688.0000","15,224.0000","2,340.0000","1,802.0000","16,113.0000","2,340.0000","1,936.0000","17,112.0000",0.0908,0.0908
55,"2,330.0000",319.0000,"3,977.0000","2,330.0000",359.0000,"4,348.0000","2,330.0000",357.0000,"4,329.0000","2,330.0000",407.0000,"4,777.0000","2,330.0000",434.0000,"5,021.0000","2,330.0000",434.0000,"5,021.0000","2,330.0000",854.0000,"8,535.0000","2,330.0000","1,620.0000","14,574.0000","2,330.0000","1,733.0000","15,477.0000","2,330.0000","1,852.0000","16,380.0000","2,330.0000","1,996.0000","17,396.0000",0.0864,0.0864
56,"2,330.0000",332.0000,"4,027.0000","2,330.0000",373.0000,"4,402.0000","2,330.0000",371.0000,"4,383.0000","2,330.0000",422.0000,"4,837.0000","2,330.0000",450.0000,"5,083.0000","2,330.0000",450.0000,"5,083.0000","2,330.0000",876.0000,"8,629.0000","2,330.0000","1,655.0000","14,892.0000","2,330.0000","1,773.0000","15,815.0000","2,330.0000","1,898.0000","16,738.0000","2,330.0000","2,050.0000","17,776.0000",0.0885,0.0885
57,"2,330.0000",342.0000,"4,081.0000","2,330.0000",387.0000,"4,462.0000","2,330.0000",384.0000,"4,442.0000","2,330.0000",438.0000,"4,902.0000","2,330.0000",467.0000,"5,152.0000","2,330.0000",467.0000,"5,152.0000","2,330.0000",890.0000,"8,734.0000","2,330.0000","1,691.0000","15,239.0000","2,330.0000","1,813.0000","16,184.0000","2,330.0000","1,947.0000","17,128.0000","2,330.0000","2,106.0000","18,190.0000",0.0906,0.0906
